Data,Fix,Top,Premium M.,Premium F.,Multiprev M.,Multiprev F.,Previdence,XP Prev,Access,Synta,Capit D. Inc,Capit D. Inc F.,Aquila6,Strategy,CW1,Inflation,Index,Alfa,Harpia,Emb,Portfolio,Multi,Volks Fusca,Fcopel,São Paulo,Reit,Reit 90,Top-Cotas,Premium M.-Cotas,Premium F.-Cotas,Multiprev M.-Cotas,Multiprev F.-Cotas,Previdence-Cotas,XP Prev-Cotas,Access-Cotas,Synta-Cotas,Capit D. Inc-Cotas,Capit D. Inc F.-Cotas,Aquila6-Cotas,Strategy-Cotas,CW1-Cotas,Inflation-Cotas,Index-Cotas,Alfa-Cotas,Harpia-Cotas,Emb-Cotas,Portfolio-Cotas,Multi-Cotas,Volks Fusca-Cotas,Fcopel-Cotas,São Paulo-Cotas,Reit-Cotas,Reit 90-Cotas
1/6/2015,110%,107%,172%,156%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,232%,380%,#N/A,375%,355%,287%,349%,136%,396%,213%,#N/A,#N/A,#N/A,#N/A,#N/A,280812167.24,280997592.45,38406980.42,38389933.44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56286138.50,135359479.11,#N/A,60986006.03,60904430.55,45500686.93,59042948.63,109103651.38,307459525.57,266105322.84,#N/A,#N/A,#N/A,#N/A,#N/A
1/7/2015,109%,106%,87%,79%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,101%,101%,#N/A,100%,93%,92%,33%,136%,73%,332%,#N/A,#N/A,#N/A,#N/A,#N/A,280705012.25,280887675.93,38421520.76,38403079.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56310861.08,135418915.43,#N/A,61012472.22,60929149.58,45518914.18,59051492.37,109168246.04,307557303.42,268489340.66,#N/A,#N/A,#N/A,#N/A,#N/A
1/8/2015,102%,99%,101%,96%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,124%,103%,#N/A,111%,104%,122%,118%,136%,83%,75%,#N/A,#N/A,#N/A,#N/A,#N/A,297619792.75,297799864.32,38423348.33,38419046.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56341320.59,135279474.79,#N/A,60961964.81,60956722.57,45543090.99,59081702.40,109232882.03,307668716.40,268577362.00,#N/A,#N/A,#N/A,#N/A,#N/A
1/9/2015,111%,107%,170%,154%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,272%,330%,#N/A,338%,323%,305%,360%,109%,341%,82%,#N/A,#N/A,#N/A,#N/A,#N/A,297862854.54,298041005.99,38616806.79,38609699.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56407941.42,135473459.93,#N/A,61051476.85,61042364.69,45603424.84,59174233.08,109284585.12,308124081.71,268673317.11,#N/A,#N/A,#N/A,#N/A,#N/A
1/12/2015,108%,104%,123%,114%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24%,57%,#N/A,-116%,-114%,-8%,-56%,132%,53%,279%,#N/A,#N/A,#N/A,#N/A,#N/A,299402478.29,299698933.48,38637384.10,38628865.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56413736.34,135506987.76,#N/A,61020767.64,61012218.02,45601910.87,59159955.48,109347172.06,308194448.26,268998919.10,#N/A,#N/A,#N/A,#N/A,#N/A
1/13/2015,112%,109%,153%,140%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,233%,320%,#N/A,378%,361%,270%,317%,134%,317%,60%,#N/A,#N/A,#N/A,#N/A,#N/A,299766682.92,300128182.54,38663035.42,38652345.44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56470865.83,135695505.01,#N/A,61121047.34,61107993.54,45655379.97,59241429.01,109410779.63,308618833.69,269068919.52,#N/A,#N/A,#N/A,#N/A,#N/A
1/14/2015,107%,104%,133%,123%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,132%,202%,#N/A,157%,148%,140%,114%,134%,211%,260%,#N/A,#N/A,#N/A,#N/A,#N/A,299716709.15,300070077.39,38685325.66,38672968.89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56503229.38,135814568.33,#N/A,61162830.85,61147370.22,45683067.04,59270678.44,109474427.27,308901349.76,269372430.75,#N/A,#N/A,#N/A,#N/A,#N/A
1/15/2015,109%,106%,219%,196%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,185%,195%,#N/A,289%,273%,207%,231%,150%,349%,179%,#N/A,#N/A,#N/A,#N/A,#N/A,299858728.92,300116535.65,38722127.77,38705928.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56548721.03,135929751.94,#N/A,61239511.50,61219973.56,45724256.66,59330179.23,109545721.96,309369798.54,269581992.64,#N/A,#N/A,#N/A,#N/A,#N/A
1/16/2015,110%,106%,102%,97%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,226%,397%,#N/A,303%,287%,238%,305%,150%,283%,283%,#N/A,#N/A,#N/A,#N/A,#N/A,297502033.87,297750239.80,38739331.09,38722228.90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56604185.89,136163982.60,#N/A,61320099.92,61296287.03,45771478.83,59408740.27,109617049.21,310050547.69,269913446.07,#N/A,#N/A,#N/A,#N/A,#N/A
1/19/2015,114%,111%,78%,72%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83%,1019%,#N/A,35%,32%,79%,61%,150%,-90%,233%,#N/A,#N/A,#N/A,#N/A,#N/A,297279472.56,297524548.15,38752450.63,38734323.79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56624638.04,136766862.07,#N/A,61329433.92,61304930.89,45787203.33,59424452.42,109688453.72,309928905.44,270487003.91,#N/A,#N/A,#N/A,#N/A,#N/A
